method,n_train,left_out_pose,pos_mean,pos_max,rot_mean,rot_max,pass
LOOCV,29,1,0.2636167351040855,0.6179730313296439,0.47572653419039596,0.9005962439126707,True
LOOCV,29,2,0.2612225507649751,0.5750243227094785,0.4763778174712728,0.9034143658747599,True
LOOCV,29,3,0.25943601332498695,0.5438465534772117,0.47392191535972217,0.9194193391538066,True
LOOCV,29,4,0.25804058605892904,0.533007100811603,0.47332789407742537,0.9334091925470069,True
LOOCV,29,5,0.25925865064761905,0.5836634570229545,0.46707793707208345,0.9529011961890802,True
LOOCV,29,6,0.25985278030226044,0.5392811051413529,0.4663327239510762,0.9546864039590962,True
LOOCV,29,7,0.26021600124958455,0.5524329379829968,0.4662790659202806,0.9514611386246035,True
LOOCV,29,8,0.2618668919844535,0.6692104868613135,0.46934769352500216,0.9512195698454252,True
LOOCV,29,9,0.26016266322930126,0.5703238304007183,0.47013267016529897,0.9397578495164065,True
LOOCV,29,10,0.2596110050747206,0.5351371358496293,0.46913315675212686,0.9360765162121891,True
LOOCV,29,11,0.2595884146877393,0.5426339115667427,0.46994631512232127,0.9361360521865566,True
LOOCV,29,12,0.2601289309053094,0.5504709121872841,0.4764298614822316,0.911690240808965,True
LOOCV,29,13,0.2590154038450289,0.539325079926796,0.475273480692713,0.9172597461383561,True
LOOCV,29,14,0.2593607449991057,0.540063477671594,0.47481844358304387,0.915226537024717,True
LOOCV,29,15,0.2592816633833972,0.5403579973840965,0.4767122834772966,0.9072110531994257,True
LOOCV,29,16,0.2591838853946948,0.5402361819699115,0.4754988700007866,0.9123724133142309,True
LOOCV,29,17,0.26108626476365976,0.5385530155267086,0.47716074302233935,0.916824441547375,True
LOOCV,29,18,0.25970429922384947,0.5418056381990963,0.4754102197507665,0.9155726716900117,True
LOOCV,29,19,0.26026541492055333,0.5402129007155899,0.47682271056022973,0.9169609400130625,True
LOOCV,29,20,0.2593029504445721,0.542350400313273,0.4744781519915557,0.9138632325783065,True
LOOCV,29,21,0.25935808906791974,0.559135510840272,0.4740647263674151,0.9105986566926318,True
LOOCV,29,22,0.2594023889332639,0.5413162207113625,0.4739760442507978,0.9145745270693624,True
LOOCV,29,23,0.2610163982439731,0.5434802656686416,0.46814153129278313,0.9201159101856753,True
LOOCV,29,24,0.2607333420899105,0.5368649116213555,0.47524850881719266,0.912359952577681,True
LOOCV,29,25,0.2594429830031722,0.545389001722014,0.4764829097479713,0.9076557014186987,True
LOOCV,29,26,0.2605741377644099,0.5529615593576848,0.47554216326944737,0.907043631036734,True
LOOCV,29,27,0.2597871433372595,0.5321539512084587,0.4730177630615274,0.9216284352842261,True
LOOCV,29,28,0.2606259988733494,0.5387539326966636,0.4711264846233117,0.9234391345800997,True
LOOCV,29,29,0.25882806699829825,0.52409561077947,0.4719269917308948,0.9352543794739776,True
LOOCV,29,30,0.25809582508828216,0.5423250774284357,0.47199875385542345,0.9362180918150331,True
