method,n_train,combo,pos_mean,pos_max,rot_mean,rot_max,pass
KFold_Sweep,5,"(6, 7, 10, 12, 28)",0.5808150938106033,1.1733592040348724,0.6468131837145328,1.2559947507753801,True
KFold_Sweep,5,"(3, 5, 8, 11, 14)",0.5361534638273481,1.296617264894689,0.5579346907068261,0.9326673058193602,True
KFold_Sweep,5,"(0, 8, 13, 15, 23)",0.3749310292832194,1.1503891091894345,0.4532474181393092,1.1261596598916477,True
KFold_Sweep,5,"(7, 11, 13, 20, 25)",0.4598663215928592,1.1483724542749216,0.49494234395862563,1.0500628390303335,True
KFold_Sweep,5,"(2, 4, 7, 16, 24)",0.9707202859329205,2.3602803345776175,0.48809795846832227,0.8091670365594698,True
KFold_Sweep,5,"(2, 12, 15, 20, 21)",0.37672627248110474,1.0287931148183076,0.47221879511845877,1.1210453024495453,True
KFold_Sweep,5,"(4, 8, 20, 21, 25)",0.45957799270051736,1.152895727511159,0.5097772702315091,0.9182158430833598,True
KFold_Sweep,5,"(2, 4, 9, 12, 27)",0.6039614351871009,1.4284255106907169,0.5887897366243124,1.0573649016169877,True
KFold_Sweep,5,"(5, 15, 23, 26, 29)",0.8330002290561459,2.2197949738173914,0.44475001298453104,0.7994230627887855,True
KFold_Sweep,5,"(8, 14, 22, 25, 27)",0.34199801672572067,0.8034084837669276,0.5097747871567824,0.9956740113204302,True
KFold_Sweep,5,"(1, 12, 16, 17, 18)",0.44325379664674575,1.3240768399352785,0.4631137713566457,1.1607980572529015,True
KFold_Sweep,5,"(1, 4, 6, 14, 21)",0.3498352936442827,0.8343974406389769,0.5385430301967407,0.832086306688981,True
KFold_Sweep,5,"(1, 2, 6, 10, 21)",0.38426808599624046,0.8075678402873868,0.5151715545558452,0.8602584504203538,True
KFold_Sweep,5,"(0, 1, 4, 14, 21)",0.71808625440031,2.378472602373733,0.5974184832735061,1.185592852657475,True
KFold_Sweep,5,"(5, 6, 11, 19, 25)",0.3390379013382611,0.719006093917698,0.5141628121940448,0.9011462122048128,True
KFold_Sweep,5,"(12, 17, 20, 23, 27)",0.9647435985622274,2.9329202633655824,0.5279006273217804,1.2428590002671482,True
KFold_Sweep,5,"(4, 11, 12, 19, 21)",0.4971581007348673,1.3301136905744722,0.4693280773301141,0.9653880891812961,True
KFold_Sweep,5,"(1, 8, 12, 13, 15)",0.4617323873332225,1.2081819796175097,0.4549590516224991,1.0374375734847547,True
KFold_Sweep,5,"(0, 6, 13, 23, 26)",0.5732874996944044,1.0646579393385693,0.5161822523886651,1.0458757574668613,True
KFold_Sweep,5,"(8, 13, 16, 22, 28)",0.6998052461696198,1.4244841270443507,0.531395008109356,1.01959279119755,True
KFold_Sweep,5,"(0, 11, 14, 16, 26)",0.4581207811784578,1.1272087232469428,0.49036763712508225,1.2495181936322917,True
KFold_Sweep,5,"(4, 9, 10, 13, 17)",0.6813077249506553,1.9065452100597826,0.5555781876753983,1.0246772667106367,True
