timestamp,pose_id,q0,qx,qy,qz,tx,ty,tz,error,x,y,z,u,v,w
1775709976.1761324,1,0.7117370963096619,-0.012056121602654457,-0.6901525855064392,0.13028594851493835,-228.2370147705078,-72.85772705078125,-2012.4847412109375,0.19409358501434326,562.6481,-51.225796,550.12415,91.92952,80.59945,104.11227
1775709976.1945477,1,0.7115736603736877,-0.012313158251345158,-0.6902669072151184,0.13054844737052917,-228.24090576171875,-72.85138702392578,-2012.466552734375,0.1914580762386322,562.64795,-51.226315,550.1248,91.9289,80.5995,104.111626
1775709976.2054565,1,0.7115923762321472,-0.01228606142103672,-0.69024658203125,0.1305564045906067,-228.24581909179688,-72.84973907470703,-2012.4825439453125,0.18884336948394775,562.6485,-51.22612,550.12354,91.929405,80.5994,104.1121
1775709976.2368817,1,0.7116020917892456,-0.012169204652309418,-0.6902728080749512,0.13037584722042084,-228.2344970703125,-72.86366271972656,-2012.4644775390625,0.18644197285175323,562.64856,-51.225742,550.12524,91.9283,80.5995,104.11107
1775709976.2481475,1,0.711519718170166,-0.012372777797281742,-0.6903146505355835,0.1305844932794571,-228.2321014404297,-72.87181854248047,-2012.473388671875,0.18366414308547974,562.6489,-51.226498,550.1246,91.92883,80.5995,104.11153
1775709976.2625673,1,0.7116544246673584,-0.01229846477508545,-0.6901846528053284,0.13054433465003967,-228.22833251953125,-72.87664794921875,-2012.4786376953125,0.18642936646938324,562.6489,-51.22522,550.1262,91.92732,80.5995,104.11017
1775709976.274148,1,0.7117193341255188,-0.012344174087047577,-0.6901068091392517,0.13059811294078827,-228.2302703857422,-72.88392639160156,-2012.5001220703125,0.18509840965270996,562.6491,-51.22605,550.1248,91.92852,80.59966,104.11127
1775709976.2889564,1,0.7118040919303894,-0.012191484682261944,-0.6900549530982971,0.1304243952035904,-228.23904418945312,-72.892333984375,-2012.490478515625,0.18918456137180328,562.64886,-51.22689,550.12555,91.928246,80.59944,104.110916
1775709976.304195,1,0.711505115032196,-0.012122955173254013,-0.6903812885284424,0.13033494353294373,-228.24398803710938,-72.89115905761719,-2012.4483642578125,0.187327042222023,562.64844,-51.226715,550.1262,91.92726,80.599556,104.109985
1775709976.3166127,1,0.7117059826850891,-0.012256704270839691,-0.6901426315307617,0.13048966228961945,-228.24893188476562,-72.89329528808594,-2012.46728515625,0.1917954534292221,562.64905,-51.22614,550.1267,91.92698,80.5996,104.109764
